,,Sales Mix Report,,,,,
SNACK MIXES Subtotal, ,138,$316.02 ,0.11%,$0.00 ,$2.59 ,$313.43 
SWEET BREADS, , , , , , , 
"7DAYS CRSNT CHOC 2.65Z,  Each",$1.79 ,7,$12.53 ,0.00%,$0.00 ,$0.00 ,$12.53 
"7DAYS CRSNT VAN 2.65Z,  Each",$1.79 ,10,$17.90 ,0.01%,$0.00 ,$0.00 ,$17.90 
"7DAYS STRW&VAN CRSNT2.65Z,  Each",$1.79 ,16,$28.64 ,0.01%,$0.00 ,$0.00 ,$28.64 
"BAP PICON CALI SWT RLL 5Z,  Each",$2.29 ,4,$9.16 ,0.00%,$0.00 ,$0.00 ,$9.16 
"BAP SEMINITAS 5Z,  Each",$2.29 ,12,$27.48 ,0.01%,$0.00 ,$0.00 ,$27.48 
"BAP SUPER CINN ROLL 5Z,  Each",$2.29 ,3,$6.87 ,0.00%,$0.00 ,$0.00 ,$6.87 
"HOST ICED HNY BN 4.75Z,  Each",$2.09 ,8,$16.72 ,0.01%,$0.00 ,$0.00 ,$16.72 
"HOST JMB HNY BUN 4.75Z,  Each",$2.09 ,11,$22.99 ,0.01%,$0.00 ,$0.00 ,$22.99 
SWEET BREADS Subtotal, ,71,$142.29 ,0.05%,$0.00 ,$0.00 ,$142.29 
TARTS, , , , , , , 
"POP TART FR BLUE 3.3Z,  Each",$1.09 ,7,$7.63 ,0.00%,$0.00 ,$0.00 ,$7.63 
"POP TART FRST STRWB 3.3Z,  Each",$1.09 ,3,$3.27 ,0.00%,$0.00 ,$0.00 ,$3.27 
"POP TART SMORES 3.3Z,  Each",$1.09 ,4,$4.36 ,0.00%,$0.00 ,$0.00 ,$4.36 
TARTS Subtotal, ,14,$15.26 ,0.01%,$0.00 ,$0.00 ,$15.26 
TORTILLA/CORN CHIPS, , , , , , , 
"DORITOS COOL RNCH 2.75Z,  Each",$1.89 ,18,$34.02 ,0.01%,$0.22 ,$0.00 ,$33.80 
"DORITOS COOL RNCH 9.75Z,  Each",$4.29 ,8,$34.32 ,0.01%,$0.00 ,$0.00 ,$34.32 
"DORITOS DNMT CH LMN 4Z,  Each",$1.89 ,10,$18.90 ,0.01%,$0.68 ,$0.00 ,$18.22 
"DORITOS DNMT CH LMN11.25Z,  Each",$4.29 ,3,$12.87 ,0.00%,$0.00 ,$0.00 ,$12.87 
"DORITOS FLAMAS 2.75Z,  Each",$1.89 ,12,$22.68 ,0.01%,$1.80 ,$0.00 ,$20.88 
"DORITOS FLM HT NCHO 2.75Z,  Each",$1.89 ,7,$13.23 ,0.00%,$0.00 ,$0.00 ,$13.23 
"DORITOS FLMN HT LMN 2.75Z,  Each",$1.89 ,20,$37.80 ,0.01%,$0.44 ,$0.00 ,$37.36 
"DORITOS NACHO 2.75Z,  Each",$1.89 ,15,$28.35 ,0.01%,$0.45 ,$0.00 ,$27.90 
"DORITOS SPCY NCHO 2.75Z,  Each",$1.89 ,23,$43.47 ,0.02%,$1.81 ,$0.00 ,$41.66 
"DORITOS TAPITIO 2.75Z,  Each",$1.89 ,6,$11.34 ,0.00%,$0.00 ,$0.00 ,$11.34 
"FRITO CHL CHS 9.25Z,  Each",$3.99 ,5,$19.95 ,0.01%,$0.00 ,$0.00 ,$19.95 
"FRITOS 3.5Z,  Each",$1.89 ,12,$22.68 ,0.01%,$0.00 ,$0.00 ,$22.68 
"FRITOS BBQ 3.5Z,  Each",$1.89 ,8,$15.12 ,0.01%,$0.00 ,$0.00 ,$15.12 
"FRITOS CHLI CHS 3.5Z,  Each",$1.89 ,22,$41.58 ,0.01%,$0.00 ,$0.00 ,$41.58 
"FRITOS HNY BBQ TWT 3.5Z,  Each",$1.89 ,5,$9.45 ,0.00%,$0.00 ,$0.00 ,$9.45 
"FRITOS SCOOPS 9.25Z,  Each",$3.99 ,1,$3.99 ,0.00%,$0.00 ,$0.00 ,$3.99 
"FRITOS TURBOS FLAMAS 4Z,  Each",$1.89 ,3,$5.67 ,0.00%,$0.00 ,$0.00 ,$5.67 
"PAQUI FRY CHL LMN 2Z,  Each",$1.89 ,2,$3.78 ,0.00%,$0.00 ,$0.00 ,$3.78 
"PAQUI TRT CHP GHST PPR 2Z,  Each",$1.89 ,6,$11.34 ,0.00%,$0.00 ,$0.00 ,$11.34 
"SANTITAS BLEND 11Z,  Each",$2.29 ,3,$6.87 ,0.00%,$0.00 ,$0.00 ,$6.87 
"SUNCHIPS HRVST CHDR 2.75Z,  Each",$1.89 ,5,$9.45 ,0.00%,$0.00 ,$0.00 ,$9.45 
"TOSTITOS SLS VRD 3.37Z,  Each",$1.89 ,14,$26.46 ,0.01%,$0.00 ,$0.00 ,$26.46 
"TOSTITOS SS NAC CHS 3.6Z,  Each",$1.19 ,7,$8.33 ,0.00%,$0.00 ,$0.00 ,$8.33 
"XX_TOSTITOS SCOOP 10Z,  Each",$4.29 ,2,$8.58 ,0.00%,$0.00 ,$0.00 ,$8.58 
TORTILLA/CORN CHIPS Subtotal, ,217,$450.23 ,0.16%,$5.40 ,$0.00 ,$444.83 
SNACKS Subtotal, ,"3,012","$7,552.18 ",2.65%,$96.91 ,$3.78 ,"$7,451.49 "
PKGD FOOD PRODUCTS Subtotal, ,"4,239","$10,264.61 ",3.60%,$194.22 ,$3.78 ,"$10,066.61 "
SERVICE PRODUCTS, , , , , , , 
LOTTERY/GAMING, , , , , , , 
ELECTRONIC/ONLINE, , , , , , , 
"ONLINE LOT NT,  Each",$1.00 ,"4,076","$4,076.00 ",1.43%,$0.00 ,$0.00 ,"$4,076.00 "
"ONLINE LOT NT,  Each",$1.94 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$2.03 ,0,$0.00 ,0.00%,$0.00 ,$9.00 ,($9.00)
"ONLINE LOT NT,  Each",$2.17 ,0,$0.00 ,0.00%,$0.00 ,$1.00 ,($1.00)
"ONLINE LOT NT,  Each",$2.30 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$2.35 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$2.47 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$2.70 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$2.75 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$3.10 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$3.15 ,0,$0.00 ,0.00%,$0.00 ,($1.00),$1.00 
"ONLINE LOT NT,  Each",$3.33 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$3.42 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$3.48 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$3.60 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$3.63 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$3.81 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$3.85 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$3.95 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$4.04 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$4.04 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$4.33 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$4.69 ,0,$0.00 ,0.00%,$0.00 ,$7.00 ,($7.00)
"ONLINE LOT NT,  Each",$4.96 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
"ONLINE LOT NT,  Each",$5.55 ,0,$0.00 ,0.00%,$0.00 ,$0.00 ,$0.00 
ELECTRONIC/ONLINE Subtotal, ,"4,076","$4,076.00 ",1.43%,$0.00 ,$16.00 ,"$4,060.00 "
SCRATCH TICKET, , , , , , , 
"$ 10 CASINO NIGHTS-1598,  Each",$10.00 ,77,$770.00 ,0.27%,$0.00 ,$0.00 ,$770.00 
"$1 5X THE CASH - 1594,  Each",$1.00 ,22,$22.00 ,0.01%,$0.00 ,$0.00 ,$22.00 
"$1 DECADES OF DOLLARS-1591,  Each",$1.00 ,82,$82.00 ,0.03%,$0.00 ,$0.00 ,$82.00 
"$1 PERFECT 10S-1585,  Each",$1.00 ,57,$57.00 ,0.02%,$0.00 ,$0.00 ,$57.00 
"$10 $250 000 STACKS-1601,  Each",$10.00 ,43,$430.00 ,0.15%,$0.00 ,$0.00 ,$430.00 
"$10 50X CASH - 1597,  Each",$10.00 ,49,$490.00 ,0.17%,$0.00 ,$0.00 ,$490.00 
"$10 CA$SHTASTIC-1625,  Each",$10.00 ,20,$200.00 ,0.07%,$0.00 ,$0.00 ,$200.00 
"$2 10X THE CASH - 1595,  Each",$2.00 ,47,$94.00 ,0.03%,$0.00 ,$0.00 ,$94.00 
"$2 CROSSWORD DOUBLER-1600,  Each",$2.00 ,43,$86.00 ,0.03%,$0.00 ,$0.00 ,$86.00 
"$2 LOTERIA V20-1582,  Each",$2.00 ,118,$236.00 ,0.08%,$0.00 ,$0.00 ,$236.00 
"$2 MAGIC 8 BALL BINGO-1572,  Each",$2.00 ,40,$80.00 ,0.03%,$0.00 ,$0.00 ,$80.00 
"$2 RED HOT CROSSW-1558,  Each",$2.00 ,21,$42.00 ,0.01%,$0.00 ,$0.00 ,$42.00 
"$20 GAST CASH FEVER-1580,  Each",$20.00 ,28,$560.00 ,0.20%,$0.00 ,$0.00 ,$560.00 
"$20 WASHINGTON MLL CLUB-1570,  Each",$20.00 ,7,$140.00 ,0.05%,$0.00 ,$0.00 ,$140.00 
"$3 CONNECT 4 CROSSWORD-1602,  Each",$3.00 ,81,$243.00 ,0.09%,$0.00 ,$0.00 ,$243.00 
"$3 SLINGO 5X-1583,  Each",$3.00 ,68,$204.00 ,0.07%,$0.00 ,$0.00 ,$204.00 
"$30 $20ML CASH BLOWOUT-1599,  Each",$30.00 ,9,$270.00 ,0.09%,$0.00 ,$0.00 ,$270.00 
"$30 BLACK ICE-1508,  Each",$30.00 ,22,$660.00 ,0.23%,$0.00 ,$0.00 ,$660.00 
"$30 JACKPOT FORTUNE-1593,  Each",$30.00 ,5,$150.00 ,0.05%,$0.00 ,$0.00 ,$150.00 
"$5 20X CASH - 1596,  Each",$5.00 ,54,$270.00 ,0.09%,$0.00 ,$0.00 ,$270.00 
"$5 IN THE GREEN-1552,  Each",$5.00 ,84,$420.00 ,0.15%,$0.00 ,$0.00 ,$420.00 
"$5 KING OF CASH-1587,  Each",$5.00 ,27,$135.00 ,0.05%,$0.00 ,$0.00 ,$135.00 
"$5 LUCKY 7-1615,  Each",$5.00 ,61,$305.00 ,0.11%,$0.00 ,$0.00 ,$305.00 
"$5 LUCKY 7S CROSSWORD-1581,  Each",$5.00 ,91,$455.00 ,0.16%,$0.00 ,$0.00 ,$455.00 
"$5 LUCKY FOR LIFE-1543,  Each",$5.00 ,37,$185.00 ,0.06%,$0.00 ,$0.00 ,$185.00 
"$5-777-1589,  Each",$5.00 ,15,$75.00 ,0.03%,$0.00 ,$0.00 ,$75.00 
SCRATCH TICKET Subtotal, ,"1,208","$6,661.00 ",2.34%,$0.00 ,$0.00 ,"$6,661.00 "
LOTTERY/GAMING Subtotal, ,"5,284","$10,737.00 ",3.77%,$0.00 ,$16.00 ,"$10,721.00 "
SERVICE PRODUCTS Subtotal, ,"5,284","$10,737.00 ",3.77%,$0.00 ,$16.00 ,"$10,721.00 "
TOBACCO AND RELATED PRODUCTS, , , , , , , 
SMOKELESS TOBACCO, , , , , , , 
MOIST SMOKELESS TOBACCO/SNUFF, , , , , , , 
"CAMEL SNUS FROST CAN,  Each",$7.79 ,7,$54.53 ,0.02%,$0.00 ,$0.00 ,$54.53 
"CAMEL SNUS FROST LG 0.53Z,  Each",$7.79 ,5,$38.95 ,0.01%,$0.00 ,$0.00 ,$38.95 
"CAMEL SNUS FROST LG 0.53Z, 2 Pack",$15.18 ,1,$15.18 ,0.01%,$0.00 ,$0.00 ,$15.18 
"CAMEL SNUS MELLOW CAN, 2 Pack",$15.18 ,1,$15.18 ,0.01%,$0.00 ,$0.00 ,$15.18 
"COPE FC NTRL 2PK/$1,  Each",$15.10 ,2,$30.20 ,0.01%,$0.00 ,$0.00 ,$30.20 
"COPE FC NTRL DP SLV,  Each",$8.35 ,11,$91.85 ,0.03%,$0.00 ,$0.00 ,$91.85 
"COPE FC NTRL DP SLV, 2 Pack",$16.10 ,5,$80.50 ,0.03%,$0.00 ,$0.00 ,$80.50 
"COPE LC MNT,  Each",$7.39 ,10,$73.90 ,0.03%,$0.00 ,$0.00 ,$73.90 
"COPE LC MNT, 2 Pack",$14.18 ,2,$28.36 ,0.01%,$0.00 ,$0.00 ,$28.36 
"COPE LC NTRL 1.2,  Each",$8.35 ,19,$158.65 ,0.06%,$0.00 ,$0.00 ,$158.65 
"COPE LC NTRL 1.2, 2 Pack",$16.10 ,3,$48.30 ,0.02%,$0.00 ,$0.00 ,$48.30 
"COPE LC NTRL 2PK/$1,  Each",$15.10 ,10,$151.00 ,0.05%,$0.00 ,$0.00 ,$151.00 
"COPE LC WNTRGRN,  Each",$7.39 ,17,$125.63 ,0.04%,$0.00 ,$0.00 ,$125.63 
"COPE LC WNTRGRN, 2 Pack",$14.18 ,5,$70.90 ,0.02%,$0.00 ,$0.00 ,$70.90 
"COPE LONG CUT STRAIGHT,  Each",$7.49 ,2,$14.98 ,0.01%,$0.00 ,$0.00 ,$14.98 
"COPE PCH MNT $0.50/1PK,  Each",$6.99 ,5,$34.95 ,0.01%,$0.00 ,$0.00 ,$34.95 
"COPE PCH MNT EA,  Each",$7.39 ,1,$7.39 ,0.00%,$0.00 ,$0.00 ,$7.39 
"COPE PCH MNT EA, 2 Pack",$14.18 ,1,$14.18 ,0.00%,$0.00 ,$0.00 ,$14.18 
"COPE WINTERGREEN PCH EA, 2 Pack",$14.18 ,2,$28.36 ,0.01%,$0.00 ,$0.00 ,$28.36 
"GEN MINT .85Z,  Each",$8.59 ,5,$42.95 ,0.02%,$0.00 ,$0.00 ,$42.95 
"GEN MINT .85Z, 2 Pack",$16.78 ,4,$67.12 ,0.02%,$0.00 ,$0.00 ,$67.12 
"GEN ORIG .85Z,  Each",$8.59 ,5,$42.95 ,0.02%,$0.00 ,$0.00 ,$42.95 
"GEN ORIG .85Z, 2 Pack",$16.78 ,15,$251.70 ,0.09%,$0.00 ,$0.00 ,$251.70 
"GEN WHITE .85Z,  Each",$8.59 ,1,$8.59 ,0.00%,$0.00 ,$0.00 ,$8.59 
"GEN WHITE .85Z, 2 Pack",$16.78 ,2,$33.56 ,0.01%,$0.00 ,$0.00 ,$33.56 
"GEN WNTRGRN .85Z,  Each",$8.59 ,1,$8.59 ,0.00%,$0.00 ,$0.00 ,$8.59 
"GRIZZLY LC MINT CAN ,  Each",$7.34 ,1,$7.34 ,0.00%,$0.00 ,$0.00 ,$7.34 
"GRIZZLY LC PR DRK WG 1.2Z,  Each",$7.34 ,1,$7.34 ,0.00%,$0.00 ,$0.00 ,$7.34 
"GRIZZLY LC STRAIGHT 1.2,  Each",$7.49 ,1,$7.49 ,0.00%,$0.00 ,$0.00 ,$7.49 
"GRIZZLY LC WG $1.00/2PK DSP,  Each",$12.08 ,1,$12.08 ,0.00%,$0.00 ,$0.00 ,$12.08 
"GRIZZLY LC WG $1.00/2PK DSP, 2 Pack",$24.16 ,1,$24.16 ,0.01%,$0.00 ,$0.00 ,$24.16 
"GRIZZLY LC WNTGRN,  Each",$7.34 ,33,$242.22 ,0.09%,$0.00 ,$0.00 ,$242.22 
"GRIZZLY LC WNTGRN, 2 Pack",$13.08 ,3,$39.24 ,0.01%,$0.00 ,$0.00 ,$39.24 
"GRIZZLY LC WNTGRN, 5 Pack",$32.70 ,4,$130.80 ,0.05%,$0.00 ,$0.00 ,$130.80 
"GRIZZLY PR DRK WG PCH.84Z,  Each",$7.34 ,2,$14.68 ,0.01%,$0.00 ,$0.00 ,$14.68 
"GRIZZLY WG PCH $0.50/1PK,  Each",$6.84 ,7,$47.88 ,0.02%,$0.00 ,$0.00 ,$47.88 
"GRIZZLY WG PCH $0.50/1PK, 2 Pack",$12.08 ,4,$48.32 ,0.02%,$0.00 ,$0.00 ,$48.32 
"GRIZZLY WNTGRN PCH .82,  Each",$7.34 ,11,$80.74 ,0.03%,$0.00 ,$0.00 ,$80.74 
"GRIZZLY WNTGRN PCH .82, 2 Pack",$13.08 ,3,$39.24 ,0.01%,$0.00 ,$0.00 ,$39.24 
"GRIZZLY WNTGRN PCH .82, 5 Pack",$32.70 ,1,$32.70 ,0.01%,$0.00 ,$0.00 ,$32.70 
"KODIAK WNTGRN 1.2,  Each",$8.35 ,7,$58.45 ,0.02%,$0.00 ,$0.00 ,$58.45 
"KODIAK WNTGRN 1.2, 2 Pack",$16.10 ,9,$144.90 ,0.05%,$0.00 ,$0.00 ,$144.90 
"LONGHORN FCN 1.2, 2 Pack",$11.18 ,1,$11.18 ,0.00%,$0.00 ,$0.00 ,$11.18 
"LONGHORN LC MNT 1.2,  Each",$5.79 ,1,$5.79 ,0.00%,$0.00 ,$0.00 ,$5.79 
"SKOAL LC MNT 1.2,  Each",$8.35 ,3,$25.05 ,0.01%,$0.00 ,$0.00 ,$25.05 
"SKOAL LC STRAIGHT 1.2,  Each",$8.35 ,1,$8.35 ,0.00%,$0.00 ,$0.00 ,$8.35 
"SKOAL MNT PCH 1.2,  Each",$8.35 ,6,$50.10 ,0.02%,$0.00 ,$0.00 ,$50.10 
"VELO CITRUS LG PCH EA,  Each",$3.15 ,1,$3.15 ,0.00%,$0.00 ,$0.00 ,$3.15 
"VELO MINT LG PCH EA,  Each",$3.15 ,3,$9.45 ,0.00%,$0.00 ,$0.00 ,$9.45 
"VELO MINT LG PCH EA, 2 Pack",$5.90 ,3,$17.70 ,0.01%,$0.00 ,$0.00 ,$17.70 
"X_COPE LC MNT 1PK/$0.50,  Each",$6.89 ,2,$13.78 ,0.00%,$0.00 ,$0.00 ,$13.78 
"X_COPE LC MNT 1PK/$0.50, 2 Pack",$13.18 ,1,$13.18 ,0.00%,$0.00 ,$0.00 ,$13.18 
MOIST SMOKELESS TOBACCO/SNUFF Subtotal, ,253,"$2,633.76 ",0.92%,$0.00 ,$0.00 ,"$2,633.76 "
OTHER SMOKELESS PRODUCTS (SMOKELESS), , , , , , , 
"DRYFT CTRS 7MG,  Each",$4.29 ,1,$4.29 ,0.00%,$0.00 ,$0.00 ,$4.29 
"DRYFT WNTRGRN 7MG,  Each",$4.29 ,2,$8.58 ,0.00%,$0.00 ,$0.00 ,$8.58 
"ZYN CINNAMON 3MG .21Z,  Each",$4.59 ,5,$22.95 ,0.01%,$0.00 ,$0.00 ,$22.95 
"ZYN CINNAMON 6MG .21Z,  Each",$4.59 ,6,$27.54 ,0.01%,$0.00 ,$0.00 ,$27.54 
"ZYN CITRUS 3MG .21Z,  Each",$4.59 ,5,$22.95 ,0.01%,$0.00 ,$0.00 ,$22.95 
"ZYN CITRUS 6MG .21Z,  Each",$4.59 ,12,$55.08 ,0.02%,$0.00 ,$0.00 ,$55.08 
"ZYN COFFEE 3MG .21Z,  Each",$4.59 ,9,$41.31 ,0.01%,$0.00 ,$0.00 ,$41.31 
"ZYN COFFEE 6MG .21Z,  Each",$4.59 ,8,$36.72 ,0.01%,$0.00 ,$0.00 ,$36.72 
"ZYN COOL MNT 3MG .21Z,  Each",$4.59 ,18,$82.62 ,0.03%,$0.00 ,$0.00 ,$82.62 
"ZYN COOL MNT 6MG .21Z,  Each",$4.59 ,26,$119.34 ,0.04%,$0.00 ,$0.00 ,$119.34 
"ZYN PPMNT 3MG .21Z,  Each",$4.59 ,4,$18.36 ,0.01%,$0.00 ,$0.00 ,$18.36 
"ZYN PPMNT 6MG 21Z,  Each",$4.59 ,27,$123.93 ,0.04%,$0.00 ,$0.00 ,$123.93 
"ZYN SMOOTH 3MG .21Z,  Each",$4.49 ,13,$58.37 ,0.02%,$0.00 ,$0.00 ,$58.37 
"ZYN SMOOTH 6MG .21Z,  Each",$4.59 ,12,$55.08 ,0.02%,$0.00 ,$0.00 ,$55.08 
"ZYN SPEARMINT 3MG .21Z,  Each",$4.59 ,8,$36.72 ,0.01%,$0.00 ,$0.00 ,$36.72 
"ZYN SPEARMINT 6MG .21Z,  Each",$4.59 ,35,$160.65 ,0.06%,$0.00 ,$0.00 ,$160.65 
"ZYN WNTRGRN 3MG .21Z,  Each",$4.59 ,59,$270.81 ,0.10%,$0.00 ,$0.00 ,$270.81 
"ZYN WNTRGRN 6MG .21Z,  Each",$4.59 ,18,$82.62 ,0.03%,$0.00 ,$0.00 ,$82.62 
OTHER SMOKELESS PRODUCTS (SMOKELESS) Subtotal, ,268,"$1,227.92 ",0.43%,$0.00 ,$0.00 ,"$1,227.92 "
SMOKELESS TOBACCO Subtotal, ,521,"$3,861.68 ",1.36%,$0.00 ,$0.00 ,"$3,861.68 "
SMOKING PRODUCTS/SMOKING ACCESSORIES, , , , , , , 
CIGARETTES, , , , , , , 
"AMRCN SPRT  GOLD BX,  Each",$9.89 ,7,$69.23 ,0.02%,$0.00 ,$0.00 ,$69.23 
"AMRCN SPRT  GOLD BX, 2 Pack",$19.28 ,12,$231.36 ,0.08%,$0.00 ,$0.00 ,$231.36 
"AMRCN SPRT  GOLD BX, Carton",$90.49 ,1,$90.49 ,0.03%,$0.00 ,$0.00 ,$90.49 
"AMRCN SPRT BLACK BX,  Each",$9.89 ,13,$128.57 ,0.05%,$0.00 ,$0.00 ,$128.57 
"AMRCN SPRT BLACK BX, 2 Pack",$19.28 ,7,$134.96 ,0.05%,$0.00 ,$0.00 ,$134.96 
"AMRCN SPRT BLUE BX,  Each",$9.89 ,21,$207.69 ,0.07%,$0.00 ,$0.00 ,$207.69 
"AMRCN SPRT BLUE BX, 2 Pack",$19.28 ,5,$96.40 ,0.03%,$0.00 ,$0.00 ,$96.40 
"AMRCN SPRT BLUE BX, Carton",$90.49 ,1,$90.49 ,0.03%,$0.00 ,$0.00 ,$90.49 
"AMRCN SPRT BLUE BX, Carton",$96.40 ,2,$192.80 ,0.07%,$0.00 ,$0.00 ,$192.80 
"AMRCN SPRT BROWN BX,  Each",$9.89 ,5,$49.45 ,0.02%,$0.00 ,$0.00 ,$49.45 
"AMRCN SPRT MTHL GREEN BX,  Each",$9.89 ,2,$19.78 ,0.01%,$0.00 ,$0.00 ,$19.78 
"AMRCN SPRT MTHL GREEN BX, 2 Pack",$19.28 ,2,$38.56 ,0.01%,$0.00 ,$0.00 ,$38.56 
"AMRCN SPRT ORANGE BX,  Each",$9.89 ,1,$9.89 ,0.00%,$0.00 ,$0.00 ,$9.89 
"AMRCN SPRT ORANGE BX, 2 Pack",$19.28 ,1,$19.28 ,0.01%,$0.00 ,$0.00 ,$19.28 
"AMRCN SPRT TURQUOISE BX,  Each",$9.89 ,10,$98.90 ,0.03%,$0.00 ,$0.00 ,$98.90 
"AMRCN SPRT YLLW BX,  Each",$9.89 ,31,$306.59 ,0.11%,$0.00 ,$0.00 ,$306.59 
"AMRCN SPRT YLLW BX, 2 Pack",$19.28 ,20,$385.60 ,0.14%,$0.00 ,$0.00 ,$385.60 
"B&H DLX 100 BX,  Each",$11.99 ,1,$11.99 ,0.00%,$0.00 ,$0.00 ,$11.99 
"B&H DLX MTHL 100 BX,  Each",$11.99 ,18,$215.82 ,0.08%,$0.00 ,$0.00 ,$215.82 
"B&H DLX MTHL 100 BX, 2 Pack",$23.88 ,4,$95.52 ,0.03%,$0.00 ,$0.00 ,$95.52 
"B&H LX MTHL 100 BX,  Each",$11.99 ,4,$47.96 ,0.02%,$0.00 ,$0.00 ,$47.96 
"B&H MTHL 100 BX,  Each",$11.99 ,1,$11.99 ,0.00%,$0.00 ,$0.00 ,$11.99 
"CAMEL 99 BLUE,  Each",$8.40 ,3,$25.20 ,0.01%,$0.00 ,$0.00 ,$25.20 
"CAMEL 99,  Each",$8.40 ,15,$126.00 ,0.04%,$0.00 ,$0.00 ,$126.00 
"CAMEL 99, 2 Pack",$14.20 ,38,$539.60 ,0.19%,$0.00 ,$0.00 ,$539.60 
"CAMEL BLUE $.50/1PK,  Each",$7.90 ,7,$55.30 ,0.02%,$0.00 ,$0.00 ,$55.30 
"CAMEL BLUE $.50/1PK, 2 Pack",$13.20 ,7,$92.40 ,0.03%,$0.00 ,$0.00 ,$92.40 
"CAMEL BLUE 99S $.50/1PK,  Each",$7.90 ,1,$7.90 ,0.00%,$0.00 ,$0.00 ,$7.90 
"CAMEL BLUE 99S $.50/1PK, 2 Pack",$13.20 ,3,$39.60 ,0.01%,$0.00 ,$0.00 ,$39.60 
"CAMEL BLUE BX,  Each",$8.40 ,23,$193.20 ,0.07%,$0.00 ,$0.00 ,$193.20 
"CAMEL BLUE BX, 2 Pack",$14.20 ,52,$738.40 ,0.26%,$0.00 ,$0.00 ,$738.40 
"CAMEL BLUE BX, Carton",$65.19 ,1,$65.19 ,0.02%,$0.00 ,$0.00 ,$65.19 
"CAMEL BLUE BX, Carton",$71.00 ,1,$71.00 ,0.02%,$0.00 ,$0.00 ,$71.00 
"CAMEL CRS MTL SLV$.50/1PK,  Each",$8.00 ,4,$32.00 ,0.01%,$0.00 ,$0.00 ,$32.00 
"CAMEL CRS MTL SLV$.50/1PK, 2 Pack",$13.40 ,3,$40.20 ,0.01%,$0.00 ,$0.00 ,$40.20 
"CAMEL CRSH MTL $.50/1PK,  Each",$8.00 ,4,$32.00 ,0.01%,$0.00 ,$0.00 ,$32.00 
"CAMEL CRSH MTL $.50/1PK, 2 Pack",$13.40 ,3,$40.20 ,0.01%,$0.00 ,$0.00 ,$40.20 
"CAMEL CRSH S SLV $.50/1PK,  Each",$8.00 ,1,$8.00 ,0.00%,$0.00 ,$0.00 ,$8.00 
"CAMEL CRUSH $.50/1PK,  Each",$8.00 ,8,$64.00 ,0.02%,$0.00 ,$0.00 ,$64.00 
"CAMEL CRUSH $.50/1PK, 2 Pack",$13.40 ,1,$13.40 ,0.00%,$0.00 ,$0.00 ,$13.40 
"CAMEL CRUSH KG,  Each",$8.50 ,45,$382.50 ,0.13%,$0.00 ,$0.00 ,$382.50 
"CAMEL CRUSH KG, 2 Pack",$14.40 ,32,$460.80 ,0.16%,$0.00 ,$0.00 ,$460.80 
"CAMEL CRUSH KG, Carton",$66.19 ,1,$66.19 ,0.02%,$0.00 ,$0.00 ,$66.19 
"CAMEL CRUSH KG, Carton",$72.00 ,1,$72.00 ,0.03%,$0.00 ,$0.00 ,$72.00 
"CAMEL CRUSH RICH $.50/1PK,  Each",$8.00 ,1,$8.00 ,0.00%,$0.00 ,$0.00 ,$8.00 
"CAMEL FILTER $.50/1PK,  Each",$7.90 ,16,$126.40 ,0.04%,$0.00 ,$0.00 ,$126.40 
"CAMEL FILTER $.50/1PK, 2 Pack",$13.20 ,5,$66.00 ,0.02%,$0.00 ,$0.00 ,$66.00 
"CAMEL FILTER 99S $.50/1PK, 2 Pack",$13.20 ,5,$66.00 ,0.02%,$0.00 ,$0.00 ,$66.00 
"CAMEL KG,  Each",$8.40 ,8,$67.20 ,0.02%,$0.00 ,$0.00 ,$67.20 
